ID,Timestamp,WinningTeam,RemainingVillagers,RemainingWerewolves,wa_type,wb_type,va_type,vb_type,vc_type,vd_type,ve_type
1,2025-04-01_20-04-05,0,3,0,TJ,FP,TP,TP,TP,TP,TP
2,2025-04-01_20-06-36,0,1,0,TJ,FP,TP,TP,TP,TP,TP
3,2025-04-01_20-08-37,0,3,0,TJ,FP,TP,TP,TP,TP,TP
4,2025-04-01_20-10-58,0,1,0,TJ,FP,TP,TP,TP,TP,TP
5,2025-04-01_20-12-50,1,0,1,TJ,FP,TP,TP,TP,TP,TP
6,2025-04-01_20-16-17,1,0,1,TJ,FP,TP,TP,TP,TP,TP
7,2025-04-01_20-17-48,0,3,0,TJ,FP,TP,TP,TP,TP,TP
8,2025-04-01_20-19-33,0,1,0,TJ,FP,TP,TP,TP,TP,TP
9,2025-04-01_20-21-34,1,0,1,TJ,FP,TP,TP,TP,TP,TP
10,2025-04-01_20-25-30,1,0,1,TJ,FP,TP,TP,TP,TP,TP
11,2025-04-01_20-28-01,1,0,1,TJ,FP,TP,TP,TP,TP,TP
12,2025-04-01_20-30-47,1,0,1,TJ,FP,TP,TP,TP,TP,TP
13,2025-04-01_20-33-32,1,0,1,TJ,FP,TP,TP,TP,TP,TP
14,2025-04-01_20-36-21,1,0,1,TJ,FP,TP,TP,TP,TP,TP
15,2025-04-01_20-41-22,1,0,1,TJ,FP,TP,TP,TP,TP,TP
16,2025-04-01_20-45-31,0,1,0,TJ,FP,TJ,TP,FJ,FP,TJ
17,2025-04-01_20-51-20,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
18,2025-04-01_20-56-59,0,1,0,TJ,FP,TJ,TP,FJ,FP,TJ
19,2025-04-01_20-58-21,0,3,0,TJ,FP,TJ,TP,FJ,FP,TJ
20,2025-04-01_21-01-35,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
21,2025-04-01_21-05-23,0,1,0,TJ,FP,TJ,TP,FJ,FP,TJ
22,2025-04-01_21-08-35,0,2,0,TJ,FP,TJ,TP,FJ,FP,TJ
23,2025-04-01_21-11-31,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
24,2025-04-01_21-13-42,0,3,0,TJ,FP,TJ,TP,FJ,FP,TJ
25,2025-04-01_21-18-57,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
26,2025-04-01_21-22-21,0,1,0,TJ,FP,TJ,TP,FJ,FP,TJ
27,2025-04-01_21-26-05,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
28,2025-04-01_21-29-59,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
29,2025-04-01_21-33-46,0,3,0,TJ,FP,TJ,TP,FJ,FP,TJ
30,2025-04-01_21-38-05,0,1,0,TJ,FP,TJ,TP,FJ,FP,TJ
31,2025-04-01_22-15-46,0,3,0,TJ,FP,TJ,TP,FJ,FP,TJ
32,2025-04-01_22-18-58,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
33,2025-04-01_22-23-05,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
34,2025-04-01_22-27-05,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
35,2025-04-01_22-30-33,0,1,0,TJ,FP,TJ,TP,FJ,FP,TJ
36,2025-04-01_22-33-32,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
37,2025-04-01_22-37-00,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
38,2025-04-01_22-40-10,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
39,2025-04-01_22-45-07,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
40,2025-04-01_22-47-59,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
41,2025-04-01_22-53-43,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
42,2025-04-01_22-59-46,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
43,2025-04-01_23-05-15,1,0,1,TJ,FP,TJ,TP,FJ,FP,TJ
44,2025-04-03_11-38-58,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
45,2025-04-03_11-43-34,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
46,2025-04-03_11-48-13,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
47,2025-04-03_11-50-46,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
48,2025-04-03_11-53-22,0,4,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
49,2025-04-03_11-57-20,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
50,2025-04-03_12-00-06,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
51,2025-04-03_12-02-19,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
52,2025-04-03_12-04-56,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
53,2025-04-03_12-07-32,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
54,2025-04-03_12-10-39,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
55,2025-04-03_12-13-10,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
56,2025-04-03_12-17-49,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
57,2025-04-03_12-24-42,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
58,2025-04-03_12-26-42,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
59,2025-04-03_12-41-57,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
60,2025-04-03_12-44-10,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
61,2025-04-03_12-47-34,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
62,2025-04-03_12-50-00,1,0,2,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
63,2025-04-03_12-52-40,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
64,2025-04-03_12-54-55,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
65,2025-04-03_12-58-01,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
66,2025-04-03_13-00-53,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
67,2025-04-03_13-03-23,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
68,2025-04-03_13-06-35,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
69,2025-04-03_13-11-34,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
70,2025-04-03_13-14-28,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
71,2025-04-03_13-17-18,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
72,2025-04-03_13-20-43,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
73,2025-04-03_13-22-25,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
74,2025-04-03_13-25-10,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
75,2025-04-03_13-26-38,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
76,2025-04-03_13-29-07,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
77,2025-04-03_13-31-20,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
78,2025-04-03_13-35-25,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
79,2025-04-03_13-39-11,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
80,2025-04-03_13-43-12,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
81,2025-04-03_13-58-07,1,0,1,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
82,2025-04-03_14-00-04,0,1,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
83,2025-04-03_14-01-35,0,3,0,blank,blank,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager,not_trying_villager
